10107931180001780751990400114 T2Ti Tecnologia da Informação LTDA Brasília                      DF00000000002012020120120229331
11RUA DAS CARNAUBAS QD 301 LT 04    00304Plaza Mall            Aguas Claras   71904540CLAUDIO                     006130425277
5000011111111111ISENTO        20120206DF550000002015929P000000015530000000000155300000000002640000000000000000000000000001700N
5000011111111111ISENTO        20120206DF550000002025929P000000001100000000000001100000000000018000000000000000000000000001700N
5000011111111111ISENTO        20120207DF550000002035929P000000091400000000000091400000000001870000000000000000000000000001700N
5000011111111111ISENTO        20120207DF550000002045929P000000022500000000000004500000000038250000000000000000000000000001700N
5000011111111111ISENTO        20120208DF550000002055929P000000000010000000000001000000000000017000000000000000000000000001700N
5000011111111111ISENTO        20120208DF550000002065929P000000000010000000000001000000000000017000000000000000000000000001700N
5000011111111111ISENTO        20120208DF550000002075929P000000000015000000000001500000000000025000000000000000000000000001700N
5000011111111111ISENTO        20120209DF550000002085929P000000011730000000000039100000000000664000000000000000000000000001700N
5000011111111111ISENTO        20120209DF550000002095929P000000002400000000000002400000000000040000000000000000000000000001700N
5000011111111111ISENTO        20120209DF550000002105929P000000090000000000000004500000000000076000000000000000000000000001700N
5000011111111111ISENTO        20120210DF550000002115929P000000000033000000000003300000000000056000000000000000000000000001700N
5000011111111111ISENTO        20120210DF550000002145929P000000000015000000000001500000000000025000000000000000000000000001700N
90107931180001780751990400114 50000000129900000015                                                                           1
